instrument,band_low_ratio,band_mid_ratio,band_high_ratio,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_hz,spectral_flatness,zcr
36_kick,0.9761768028130989,0.004417019184840109,0.019406178002060903,455.89745787687247,933.2681560358985,846.3953167459239,0.6852066516876221,0.001195227581521739
37_xstick,0.015600331351826443,0.7516881948993996,0.2327114737487739,2472.605823678568,2858.3205892649266,4940.699834408967,0.1620420664548874,0.05769573709239131
38_snareHead,0.1042387698968789,0.819142933721883,0.07661829638123814,2332.3427916442724,2959.2583419481334,4940.746645720109,0.0998830571770668,0.04075980808423913
40_snareRim,0.10424043452021726,0.8191407321082971,0.07661883337148565,2337.438697894283,2966.4021866841213,4950.4833984375,0.09842896461486816,0.0407470703125
42_hhClosed,1.143536114026687e-06,0.009524570129900446,0.9904742863339855,3132.9283317808067,1825.4663275690864,5440.270146908967,0.817717432975769,0.08472104279891304
43_tom3,0.8090990570601667,0.15852903501735244,0.0323719079224808,1381.6437820144868,2657.811467304873,2611.3221807065215,0.13272154331207275,0.006952700407608696
44_hhPedal,0.00031582678816012723,0.015164754093829632,0.9845194191180102,3705.9583121999253,2011.97296778893,6164.721998131793,0.6667381525039673,0.12656143851902174
45_tom2,0.9627467810795505,0.027892848412654558,0.00936037050779495,1199.951586521926,2378.371221424635,2161.2782353940215,0.15075361728668213,0.006427267323369565
46_hhOpen,5.5177577983599e-06,0.024495443933304602,0.9754990383088971,7120.853191435961,3921.8023547113194,11414.282863451086,0.07071536779403687,0.28896165930706524
47_tom2Rim,0.9623301615347694,0.02812215347357748,0.009547684991653213,1165.5072538333295,2349.3402913812333,2089.188816236413,0.15227048099040985,0.006389054008152174
48_tom1,0.9681810395991116,0.02514781681407668,0.0066711435868117034,1098.5839200810126,2369.0723105840425,1719.2390242866848,0.12111100554466248,0.006550399116847826
49_crash1,3.860515361724507e-08,0.031123465881577737,0.9688764955132686,5959.142056367869,2837.8806169642235,8426.69136379076,0.012297932989895344,0.2639722741168478
50_tom1Rim,0.9681810212070213,0.02514783491618942,0.006671143876789289,1095.6705933562282,2361.1864658688005,1714.8387610394022,0.12158018350601196,0.0065525220788043475
51_rideBow,0.0009533952460699309,0.15074882666211115,0.8482977780918189,5048.634604206572,3914.4707146178216,8546.341075067934,0.03395646810531616,0.18856466542119565
52_chinese,5.595366313828753e-05,0.16138492491922912,0.8385591214176326,5339.491925681617,3390.2379821084955,8761.345427139946,0.0294506773352623,0.21568550441576087
53_rideBell,1.3611950333659427e-05,0.16540493167319117,0.8345814563764752,4123.22960310456,3046.6224318698623,6325.097550101902,0.013417341746389866,0.1542342476222826
55_splash,0.00010550589735409316,0.20482749994496716,0.7950669941576788,4998.795911921844,3469.557114397286,8586.832859205164,0.015947110950946808,0.18450131623641305
57_crash2,2.372878042432663e-05,0.0822579163073374,0.9177183549122383,5416.672701278082,2823.24525145921,8209.627314028532,0.01220751367509365,0.23780676800271738
58_vibraslap,2.520843807857562e-05,0.08689458137701252,0.9130802101849089,4779.715872919141,2517.231693617698,7265.021866508152,0.19034259021282196,0.2023278277853261
