epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold,lr,micro_precision,micro_recall,tp,fp,fn,tn,tp_kick,fp_kick,fn_kick,tn_kick,tp_xstick,fp_xstick,fn_xstick,tn_xstick,tp_snare,fp_snare,fn_snare,tn_snare,tp_hihat_closed,fp_hihat_closed,fn_hihat_closed,tn_hihat_closed,tp_hihat_open,fp_hihat_open,fn_hihat_open,tn_hihat_open,tp_hihat_pedal,fp_hihat_pedal,fn_hihat_pedal,tn_hihat_pedal,tp_tom,fp_tom,fn_tom,tn_tom,tp_floor_tom,fp_floor_tom,fn_floor_tom,tn_floor_tom,tp_vibraslap,fp_vibraslap,fn_vibraslap,tn_vibraslap,tp_crash,fp_crash,fn_crash,tn_crash,tp_ride_bow,fp_ride_bow,fn_ride_bow,tn_ride_bow,tp_ride_bell,fp_ride_bell,fn_ride_bell,tn_ride_bell,tp_chinese_cymbal,fp_chinese_cymbal,fn_chinese_cymbal,tn_chinese_cymbal,tp_splash_cymbal,fp_splash_cymbal,fn_splash_cymbal,tn_splash_cymbal
1,2420.1179122924805,0.3548489797298793,0.25382083417751566,0.5031463503837585,0.3592049181461334,0.04382031783461571,0.053367651998996735,0.6285714507102966,0.0003,0.4581405520439148,0.5579577088356018,126253.0,149324.0,100024.0,4788145.0,33505.0,17605.0,15108.0,302621.0,1983.0,1614.0,3411.0,361831.0,44544.0,22781.0,19943.0,281571.0,19835.0,35033.0,17852.0,296119.0,2645.0,5020.0,6435.0,354739.0,6098.0,29261.0,14525.0,318955.0,6488.0,5462.0,4112.0,352777.0,5246.0,7783.0,5984.0,349826.0,84.0,989.0,462.0,367304.0,111.0,8178.0,706.0,359844.0,3878.0,10099.0,7947.0,346915.0,379.0,2021.0,1599.0,364840.0,423.0,1434.0,1082.0,365900.0,1034.0,2044.0,858.0,364903.0
2,2515.093278169632,0.2651419199635664,0.24394902168092147,0.5382791757583618,0.3935319483280182,0.04382031783461571,0.05168263614177704,0.6535714864730835,0.0003,0.49733585119247437,0.5865686535835266,132727.0,134149.0,93550.0,4803320.0,34239.0,15664.0,14374.0,304562.0,2420.0,1879.0,2974.0,361566.0,44655.0,19117.0,19832.0,285235.0,23098.0,38434.0,14589.0,292718.0,2844.0,4234.0,6236.0,355525.0,6768.0,26898.0,13855.0,321318.0,6887.0,4557.0,3713.0,353682.0,5517.0,7102.0,5713.0,350507.0,83.0,508.0,463.0,367785.0,68.0,3021.0,749.0,365001.0,4240.0,7852.0,7585.0,349162.0,495.0,1923.0,1483.0,364938.0,430.0,1493.0,1075.0,365841.0,983.0,1467.0,909.0,365480.0
3,2547.782863140106,0.23787624157759332,0.22850391691295824,0.5384652614593506,0.3993004262447357,0.04382031783461571,0.052648019045591354,0.6571428179740906,0.0003,0.49332195520401,0.5927027463912964,134115.0,137746.0,92162.0,4799723.0,34455.0,14522.0,14158.0,305704.0,2366.0,1651.0,3028.0,361794.0,43621.0,16387.0,20866.0,287965.0,23179.0,38816.0,14508.0,292336.0,2806.0,4249.0,6274.0,355510.0,7811.0,30852.0,12812.0,317364.0,7185.0,3858.0,3415.0,354381.0,6177.0,7405.0,5053.0,350204.0,97.0,963.0,449.0,367330.0,104.0,5333.0,713.0,362689.0,4374.0,9077.0,7451.0,347937.0,518.0,1698.0,1460.0,365163.0,387.0,1246.0,1118.0,366088.0,1035.0,1689.0,857.0,365258.0
4,2537.1036603450775,0.21717291375195907,0.22952179547171658,0.5508553981781006,0.41145628690719604,0.04382031783461571,0.05092678964138031,0.6607142686843872,0.0003,0.5124214291572571,0.5955222845077515,134753.0,128220.0,91524.0,4809249.0,33073.0,11205.0,15540.0,309021.0,2495.0,1781.0,2899.0,361664.0,44368.0,15857.0,20119.0,288495.0,24444.0,41044.0,13243.0,290108.0,3001.0,5398.0,6079.0,354361.0,6879.0,25798.0,13744.0,322418.0,7369.0,3934.0,3231.0,354305.0,6040.0,7634.0,5190.0,349975.0,95.0,653.0,451.0,367640.0,57.0,2403.0,760.0,365619.0,4737.0,7394.0,7088.0,349620.0,514.0,1361.0,1464.0,365500.0,539.0,2011.0,966.0,365323.0,1142.0,1747.0,750.0,365200.0
5,2427.1197381019592,0.20535350975183278,0.21040688664737311,0.5686149001121521,0.42743995785713196,0.04382031783461571,0.05002124607563019,0.6535714864730835,0.0003,0.5333704948425293,0.6088466644287109,137768.0,120529.0,88509.0,4816940.0,33383.0,11401.0,15230.0,308825.0,2440.0,1434.0,2954.0,362011.0,45597.0,16517.0,18890.0,287835.0,24141.0,32932.0,13546.0,298220.0,3262.0,4577.0,5818.0,355182.0,7974.0,28913.0,12649.0,319303.0,7337.0,3039.0,3263.0,355200.0,6423.0,7106.0,4807.0,350503.0,106.0,684.0,440.0,367609.0,81.0,1677.0,736.0,366345.0,5048.0,8267.0,6777.0,348747.0,509.0,1150.0,1469.0,365711.0,415.0,1326.0,1090.0,366008.0,1052.0,1506.0,840.0,365441.0
6,2444.9876675605774,0.16721686959574697,0.19750963369708807,0.5884173512458801,0.45360803604125977,0.04382031783461571,0.05052553117275238,0.6035714745521545,0.0003,0.5493731498718262,0.6334360241889954,143332.0,117569.0,82945.0,4819900.0,35654.0,12482.0,12959.0,307744.0,2586.0,1374.0,2808.0,362071.0,45805.0,13044.0,18682.0,291308.0,25198.0,34314.0,12489.0,296838.0,3415.0,4073.0,5665.0,355686.0,8482.0,28613.0,12141.0,319603.0,7423.0,2895.0,3177.0,355344.0,6721.0,7042.0,4509.0,350567.0,156.0,1085.0,390.0,367208.0,87.0,950.0,730.0,367072.0,5322.0,6595.0,6503.0,350419.0,625.0,1097.0,1353.0,365764.0,626.0,2255.0,879.0,365079.0,1232.0,1750.0,660.0,365197.0
7,2559.4489934444427,0.16367886039280663,0.21994838684870735,0.5868204236030579,0.4411796033382416,0.04382031783461571,0.04743397608399391,0.6142856478691101,0.0003,0.5644676089286804,0.611016571521759,138259.0,106678.0,88018.0,4830791.0,35645.0,12169.0,12968.0,308057.0,2656.0,1420.0,2738.0,362025.0,46164.0,14758.0,18323.0,289594.0,22076.0,29660.0,15611.0,301492.0,3453.0,4220.0,5627.0,355539.0,7310.0,23391.0,13313.0,324825.0,6951.0,2603.0,3649.0,355636.0,6526.0,6139.0,4704.0,351470.0,92.0,743.0,454.0,367550.0,60.0,1507.0,757.0,366515.0,5264.0,6304.0,6561.0,350710.0,510.0,992.0,1468.0,365869.0,539.0,1389.0,966.0,365945.0,1013.0,1383.0,879.0,365564.0
8,2605.7624881267548,0.1580169842945716,0.1922316646638564,0.6081141829490662,0.46190693974494934,0.04382031783461571,0.048247337341308594,0.610714316368103,0.0003,0.5802149176597595,0.6388320326805115,144553.0,104584.0,81724.0,4832885.0,35888.0,12080.0,12725.0,308146.0,2682.0,1346.0,2712.0,362099.0,48106.0,14929.0,16381.0,289423.0,24527.0,27491.0,13160.0,303661.0,3262.0,3370.0,5818.0,356389.0,7937.0,24662.0,12686.0,323554.0,7436.0,2774.0,3164.0,355465.0,6838.0,6817.0,4392.0,350792.0,101.0,511.0,445.0,367782.0,103.0,1261.0,714.0,366761.0,5257.0,4405.0,6568.0,352609.0,774.0,2082.0,1204.0,364779.0,488.0,1224.0,1017.0,366110.0,1154.0,1632.0,738.0,365315.0
9,2437.5327360630035,0.1538614727317429,0.18753926602833265,0.6062629222869873,0.4666914641857147,0.04382031783461571,0.047849372029304504,0.5892857313156128,0.0003,0.580738365650177,0.6341342926025391,143490.0,103592.0,82787.0,4833877.0,35284.0,10549.0,13329.0,309677.0,2655.0,1258.0,2739.0,362187.0,47332.0,16470.0,17155.0,287882.0,24766.0,29984.0,12921.0,301168.0,3420.0,3326.0,5660.0,356433.0,8252.0,23202.0,12371.0,325014.0,7416.0,2549.0,3184.0,355690.0,6482.0,5464.0,4748.0,352145.0,152.0,888.0,394.0,367405.0,82.0,895.0,735.0,367127.0,5215.0,4227.0,6610.0,352787.0,704.0,1688.0,1274.0,365173.0,542.0,1596.0,963.0,365738.0,1188.0,1496.0,704.0,365451.0
10,2478.656150341034,0.14920535675423288,0.1906559006228444,0.6130443215370178,0.4707425534725189,0.04382031783461571,0.04792896658182144,0.6035714149475098,0.0003,0.5867680907249451,0.6417841911315918,145221.0,102272.0,81056.0,4835197.0,35410.0,11072.0,13203.0,309154.0,2687.0,1357.0,2707.0,362088.0,47708.0,14455.0,16779.0,289897.0,25734.0,29805.0,11953.0,301347.0,3268.0,2884.0,5812.0,356875.0,7931.0,22942.0,12692.0,325274.0,7784.0,2931.0,2816.0,355308.0,6574.0,5410.0,4656.0,352199.0,105.0,517.0,441.0,367776.0,125.0,1676.0,692.0,366346.0,5475.0,4707.0,6350.0,352307.0,798.0,1737.0,1180.0,365124.0,546.0,1345.0,959.0,365989.0,1076.0,1434.0,816.0,365513.0
