epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold,lr,micro_precision,micro_recall,tp,fp,fn,tn,tp_kick,fp_kick,fn_kick,tn_kick,tp_xstick,fp_xstick,fn_xstick,tn_xstick,tp_snare,fp_snare,fn_snare,tn_snare,tp_hihat_pedal,fp_hihat_pedal,fn_hihat_pedal,tn_hihat_pedal,tp_hihat_closed,fp_hihat_closed,fn_hihat_closed,tn_hihat_closed,tp_hihat_open,fp_hihat_open,fn_hihat_open,tn_hihat_open,tp_tom,fp_tom,fn_tom,tn_tom,tp_floor_tom,fp_floor_tom,fn_floor_tom,tn_floor_tom,tp_vibraslap,fp_vibraslap,fn_vibraslap,tn_vibraslap,tp_crash,fp_crash,fn_crash,tn_crash,tp_ride_bow,fp_ride_bow,fn_ride_bow,tn_ride_bow,tp_ride_bell,fp_ride_bell,fn_ride_bell,tn_ride_bell,tp_chinese_cymbal,fp_chinese_cymbal,fn_chinese_cymbal,tn_chinese_cymbal,tp_splash_cymbal,fp_splash_cymbal,fn_splash_cymbal,tn_splash_cymbal
1,210.71496534347534,0.3349117071606839,0.24049224765370414,0.5745618939399719,0.470166951417923,0.07140904664993286,0.09365683048963547,0.4178571403026581,0.0003,0.506319522857666,0.664065420627594,26720.0,26053.0,13517.0,497182.0,5264.0,1320.0,1511.0,32153.0,478.0,448.0,571.0,38751.0,6539.0,3031.0,2261.0,28417.0,1688.0,4642.0,2183.0,31735.0,803.0,1712.0,985.0,36748.0,838.0,1028.0,827.0,37555.0,4870.0,3230.0,1374.0,30774.0,2946.0,2516.0,1157.0,33629.0,288.0,1121.0,595.0,38244.0,191.0,2749.0,284.0,37024.0,1280.0,2436.0,670.0,35862.0,79.0,362.0,263.0,39544.0,429.0,382.0,350.0,39087.0,1027.0,1076.0,486.0,37659.0
1,207.03060054779053,0.3316638996874815,0.24149798036593137,0.5865468382835388,0.4630131125450134,0.07140904664993286,0.08538845181465149,0.4714285731315613,0.0003,0.5385335087776184,0.6439595222473145,25911.0,22203.0,14326.0,501032.0,5185.0,1297.0,1590.0,32176.0,368.0,345.0,681.0,38854.0,6500.0,2735.0,2300.0,28713.0,1530.0,4244.0,2341.0,32133.0,762.0,1623.0,1026.0,36837.0,736.0,781.0,929.0,37802.0,4747.0,2883.0,1497.0,31121.0,3098.0,2859.0,1005.0,33286.0,182.0,1056.0,701.0,38309.0,82.0,375.0,393.0,39398.0,1185.0,2099.0,765.0,36199.0,89.0,517.0,253.0,39389.0,435.0,331.0,344.0,39138.0,1012.0,1058.0,501.0,37677.0
2,203.31843733787537,0.26920290756703547,0.21722996713531773,0.6286711096763611,0.5152875185012817,0.07140904664993286,0.08624740689992905,0.47857141494750977,0.0003,0.5745915174484253,0.6939881443977356,27924.0,20674.0,12313.0,502561.0,5604.0,1463.0,1171.0,32010.0,516.0,332.0,533.0,38867.0,6764.0,2552.0,2036.0,28896.0,1998.0,3919.0,1873.0,32458.0,1012.0,2168.0,776.0,36292.0,882.0,942.0,783.0,37641.0,4931.0,2580.0,1313.0,31424.0,2983.0,1941.0,1120.0,34204.0,214.0,838.0,669.0,38527.0,120.0,550.0,355.0,39223.0,1260.0,1849.0,690.0,36449.0,97.0,298.0,245.0,39608.0,497.0,327.0,282.0,39142.0,1046.0,915.0,467.0,37820.0
3,204.7413194179535,0.24806519399471677,0.22065611701081794,0.6430737376213074,0.528349757194519,0.07140904664993286,0.08134210854768753,0.48571428656578064,0.0003,0.6038094162940979,0.6877998113632202,27675.0,18159.0,12562.0,505076.0,5608.0,1379.0,1167.0,32094.0,508.0,236.0,541.0,38963.0,6719.0,2432.0,2081.0,29016.0,1962.0,3145.0,1909.0,33232.0,932.0,1667.0,856.0,36793.0,890.0,796.0,775.0,37787.0,4746.0,2147.0,1498.0,31857.0,3036.0,1975.0,1067.0,34170.0,274.0,874.0,609.0,38491.0,86.0,424.0,389.0,39349.0,1184.0,1445.0,766.0,36853.0,107.0,318.0,235.0,39588.0,483.0,278.0,296.0,39191.0,1140.0,1043.0,373.0,37692.0
4,202.49386715888977,0.23717533985929432,0.20726763086678185,0.6583874225616455,0.546802282333374,0.07140904664993286,0.08149828016757965,0.5285714268684387,0.0003,0.6176342368125916,0.704898476600647,28363.0,17559.0,11874.0,505676.0,5574.0,1140.0,1201.0,32333.0,570.0,245.0,479.0,38954.0,6834.0,2155.0,1966.0,29293.0,1854.0,2626.0,2017.0,33751.0,904.0,1328.0,884.0,37132.0,986.0,1161.0,679.0,37422.0,5041.0,2084.0,1203.0,31920.0,3098.0,1729.0,1005.0,34416.0,287.0,806.0,596.0,38559.0,150.0,1468.0,325.0,38305.0,1331.0,1437.0,619.0,36861.0,101.0,222.0,241.0,39684.0,486.0,236.0,293.0,39233.0,1147.0,922.0,366.0,37813.0
5,202.18321537971497,0.2228978395205623,0.20068576067680158,0.6741156578063965,0.5611235499382019,0.07140904664993286,0.07789384573698044,0.5285714268684387,0.0003,0.6460549831390381,0.7047244906425476,28356.0,15535.0,11881.0,507700.0,5673.0,1183.0,1102.0,32290.0,584.0,205.0,465.0,38994.0,6800.0,1880.0,2000.0,29568.0,1790.0,2093.0,2081.0,34284.0,861.0,1147.0,927.0,37313.0,934.0,785.0,731.0,37798.0,5072.0,2028.0,1172.0,31976.0,3054.0,1584.0,1049.0,34561.0,298.0,805.0,585.0,38560.0,136.0,851.0,339.0,38922.0,1356.0,1620.0,594.0,36678.0,95.0,153.0,247.0,39753.0,521.0,234.0,258.0,39235.0,1182.0,967.0,331.0,37768.0
6,203.57337856292725,0.21484663297547343,0.1982300656467611,0.6858870983123779,0.5732051134109497,0.07140904664993286,0.07644923031330109,0.550000011920929,0.0003,0.6632773876190186,0.7100927233695984,28572.0,14505.0,11665.0,508730.0,5733.0,1174.0,1042.0,32299.0,620.0,277.0,429.0,38922.0,6967.0,1980.0,1833.0,29468.0,1869.0,2394.0,2002.0,33983.0,876.0,1010.0,912.0,37450.0,877.0,662.0,788.0,37921.0,5148.0,2001.0,1096.0,32003.0,3120.0,1475.0,983.0,34670.0,357.0,906.0,526.0,38459.0,105.0,618.0,370.0,39155.0,1178.0,959.0,772.0,37339.0,117.0,229.0,225.0,39677.0,516.0,186.0,263.0,39283.0,1089.0,634.0,424.0,38101.0
7,203.38522028923035,0.2053619236347233,0.18710608580161742,0.6935599446296692,0.5903018116950989,0.07140904664993286,0.07935798168182373,0.5250000357627869,0.0003,0.6588245630264282,0.7321619391441345,29460.0,15256.0,10777.0,507979.0,5676.0,1132.0,1099.0,32341.0,604.0,182.0,445.0,39017.0,7155.0,2073.0,1645.0,29375.0,2124.0,2708.0,1747.0,33669.0,945.0,1197.0,843.0,37263.0,1001.0,875.0,664.0,37708.0,5047.0,1556.0,1197.0,32448.0,3269.0,1601.0,834.0,34544.0,415.0,1033.0,468.0,38332.0,150.0,883.0,325.0,38890.0,1322.0,1068.0,628.0,37230.0,96.0,71.0,246.0,39835.0,558.0,230.0,221.0,39239.0,1098.0,647.0,415.0,38088.0
8,204.08617162704468,0.1972504883736332,0.1861099012150155,0.6969134211540222,0.5925454497337341,0.07140904664993286,0.07957982271909714,0.5464286208152771,0.0003,0.6611360311508179,0.7367845773696899,29646.0,15195.0,10591.0,508040.0,5835.0,1290.0,940.0,32183.0,627.0,214.0,422.0,38985.0,7053.0,1832.0,1747.0,29616.0,2120.0,2625.0,1751.0,33752.0,942.0,1176.0,846.0,37284.0,889.0,596.0,776.0,37987.0,5210.0,1679.0,1034.0,32325.0,3208.0,1399.0,895.0,34746.0,315.0,578.0,568.0,38787.0,187.0,1300.0,288.0,38473.0,1405.0,1331.0,545.0,36967.0,126.0,198.0,216.0,39708.0,567.0,215.0,212.0,39254.0,1162.0,762.0,351.0,37973.0
9,203.229065656662,0.1936118809216087,0.18653986407686385,0.700793445110321,0.5965296030044556,0.07140904664993286,0.07666219770908356,0.535714328289032,0.0003,0.6767830848693848,0.7265700697898865,29235.0,13962.0,11002.0,509273.0,5613.0,878.0,1162.0,32595.0,584.0,133.0,465.0,39066.0,7131.0,1910.0,1669.0,29538.0,1926.0,1981.0,1945.0,34396.0,968.0,1246.0,820.0,37214.0,964.0,765.0,701.0,37818.0,5234.0,1747.0,1010.0,32257.0,3152.0,1348.0,951.0,34797.0,369.0,765.0,514.0,38600.0,185.0,1258.0,290.0,38515.0,1288.0,937.0,662.0,37361.0,117.0,166.0,225.0,39740.0,573.0,227.0,206.0,39242.0,1131.0,601.0,382.0,38134.0
