epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
1,train,0,kick,0.1666666716337204,0.042553190141916275,0.06779660284519196,0.10000000149011612,2.0,10.0,45.0,63.0,47.0
1,train,1,xstick,0.037383176386356354,0.6666666865348816,0.07079645246267319,0.125,4.0,103.0,2.0,11.0,6.0
1,train,2,snare,0.31313130259513855,0.8857142925262451,0.46268656849861145,0.10000000149011612,31.0,68.0,4.0,17.0,35.0
1,train,3,hihat_pedal,0.17777778208255768,0.380952388048172,0.24242423474788666,0.10000000149011612,8.0,37.0,13.0,62.0,21.0
1,train,4,hihat_closed,0.05263157933950424,0.05263157933950424,0.05263157933950424,0.10000000149011612,1.0,18.0,18.0,83.0,19.0
1,train,5,hihat_open,0.0731707289814949,1.0,0.13636362552642822,0.375,6.0,76.0,0.0,38.0,6.0
1,train,6,tom,0.07547169923782349,0.3333333432674408,0.1230769231915474,0.10000000149011612,4.0,49.0,8.0,59.0,12.0
1,train,7,floor_tom,0.06521739065647125,0.75,0.12000000476837158,0.125,6.0,86.0,2.0,26.0,8.0
1,train,8,vibraslap,0.019999999552965164,0.20000000298023224,0.036363635212183,0.125,1.0,49.0,4.0,66.0,5.0
1,train,9,crash,0.03529411926865578,0.6000000238418579,0.06666667014360428,0.8999999761581421,3.0,82.0,2.0,33.0,5.0
1,train,10,ride_bow,0.1538461595773697,0.7058823704719543,0.25263160467147827,0.5249999761581421,12.0,66.0,5.0,37.0,17.0
1,train,11,ride_bell,0.02380952425301075,0.1428571492433548,0.04081632196903229,0.7249999642372131,1.0,41.0,6.0,72.0,7.0
1,train,12,chinese_cymbal,0.0,0.0,0.0,0.375,0.0,25.0,5.0,90.0,5.0
1,train,13,splash_cymbal,0.0,0.0,0.0,0.10000000149011612,0.0,44.0,5.0,71.0,5.0
2,train,0,kick,0.3595505654811859,0.6808510422706604,0.47058823704719543,0.10000000149011612,32.0,57.0,15.0,16.0,47.0
2,train,1,xstick,0.05714285746216774,1.0,0.10810811072587967,0.10000000149011612,6.0,99.0,0.0,15.0,6.0
2,train,2,snare,0.3008849620819092,0.9714285731315613,0.45945942401885986,0.10000000149011612,34.0,79.0,1.0,6.0,35.0
2,train,3,hihat_pedal,0.1505376398563385,0.6666666865348816,0.24561402201652527,0.10000000149011612,14.0,79.0,7.0,20.0,21.0
2,train,4,hihat_closed,0.14678898453712463,0.8421052694320679,0.25,0.10000000149011612,16.0,93.0,3.0,8.0,19.0
2,train,5,hihat_open,0.02222222276031971,0.1666666716337204,0.039215683937072754,0.15000000596046448,1.0,44.0,5.0,70.0,6.0
2,train,6,tom,0.08163265138864517,0.6666666865348816,0.145454540848732,0.10000000149011612,8.0,90.0,4.0,18.0,12.0
2,train,7,floor_tom,0.05154639109969139,0.625,0.0952380895614624,0.10000000149011612,5.0,92.0,3.0,20.0,8.0
