epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
1,train,0,kick,0.6304896473884583,0.5413175225257874,0.5825106501579285,0.574999988079071,14988.0,8784.0,12700.0,69179.0,27688.0
1,train,1,xstick,0.3390151560306549,0.10870445519685745,0.1646229326725006,0.44999998807907104,537.0,1047.0,4403.0,99664.0,4940.0
1,train,2,snare,0.6342343688011169,0.44412246346473694,0.5224202275276184,0.42499998211860657,14406.0,8308.0,18031.0,64906.0,32437.0
1,train,3,hihat_pedal,0.3113645911216736,0.09902586787939072,0.1502625048160553,0.375,1474.0,3260.0,13411.0,87506.0,14885.0
1,train,4,hihat_closed,0.3442623019218445,0.12973883748054504,0.18845604360103607,0.3999999761581421,924.0,1760.0,6198.0,96769.0,7122.0
1,train,5,hihat_open,0.2702280580997467,0.14837050437927246,0.19156239926815033,0.47499996423721313,865.0,2336.0,4965.0,97485.0,5830.0
1,train,6,tom,0.48086509108543396,0.3045470714569092,0.3729151487350464,0.375,5981.0,6457.0,13658.0,79555.0,19639.0
1,train,7,floor_tom,0.4252678453922272,0.2804734408855438,0.33801716566085815,0.375,4763.0,6437.0,12219.0,82232.0,16982.0
1,train,8,vibraslap,0.12317666411399841,0.021946288645267487,0.037254899740219116,0.3499999940395355,76.0,541.0,3387.0,101647.0,3463.0
1,train,9,crash,0.15622317790985107,0.07533112913370132,0.10164758563041687,0.42499998211860657,182.0,983.0,2234.0,102252.0,2416.0
1,train,10,ride_bow,0.3753674328327179,0.21041357517242432,0.26966530084609985,0.32499998807907104,1277.0,2125.0,4792.0,97457.0,6069.0
1,train,11,ride_bell,0.13893966376781464,0.054246965795755386,0.07802873849868774,0.32499998807907104,76.0,471.0,1325.0,103779.0,1401.0
1,train,12,chinese_cymbal,0.3181067705154419,0.168709859251976,0.22048445045948029,0.5,578.0,1239.0,2848.0,100986.0,3426.0
1,train,13,splash_cymbal,0.27521613240242004,0.17450891435146332,0.21358680725097656,0.375,1146.0,3018.0,5421.0,96066.0,6567.0
2,train,0,kick,0.7759636044502258,0.6936426758766174,0.7324974536895752,0.42499998211860657,19105.0,5516.0,8438.0,72592.0,27543.0
2,train,1,xstick,0.357705295085907,0.3765541613101959,0.36688777804374695,0.550000011920929,1908.0,3426.0,3159.0,97158.0,5067.0
2,train,2,snare,0.6200686097145081,0.6911619305610657,0.6536880135536194,0.3999999761581421,22413.0,13733.0,10015.0,59490.0,32428.0
2,train,3,hihat_pedal,0.2778014838695526,0.4770532250404358,0.35113009810447693,0.32499998807907104,7162.0,18619.0,7851.0,72019.0,15013.0
2,train,4,hihat_closed,0.2896020710468292,0.38442716002464294,0.33034443855285645,0.375,2671.0,6552.0,4277.0,92151.0,6948.0
2,train,5,hihat_open,0.32004261016845703,0.357106477022171,0.3375602066516876,0.44999998807907104,2103.0,4468.0,3786.0,95294.0,5889.0
2,train,6,tom,0.4248465299606323,0.7236688733100891,0.5353836417198181,0.5,14257.0,19301.0,5444.0,66649.0,19701.0
2,train,7,floor_tom,0.3745986223220825,0.6495676040649414,0.47517114877700806,0.6000000238418579,10966.0,18308.0,5916.0,70461.0,16882.0
2,train,8,vibraslap,0.14482854306697845,0.3054983913898468,0.19650118052959442,0.42499998211860657,1039.0,6135.0,2362.0,96115.0,3401.0
2,train,9,crash,0.16012084484100342,0.222408726811409,0.186193585395813,0.5,530.0,2780.0,1853.0,100488.0,2383.0
2,train,10,ride_bow,0.2542514503002167,0.5579806566238403,0.3493271768093109,0.3999999761581421,3349.0,9823.0,2653.0,89826.0,6002.0
2,train,11,ride_bell,0.15911084413528442,0.37234771251678467,0.22295081615447998,0.3999999761581421,544.0,2875.0,917.0,101315.0,1461.0
2,train,12,chinese_cymbal,0.33944740891456604,0.42120426893234253,0.37593209743499756,0.675000011920929,1462.0,2845.0,2009.0,99335.0,3471.0
2,train,13,splash_cymbal,0.28427404165267944,0.6219987869262695,0.390209436416626,0.42499998211860657,4145.0,10436.0,2519.0,88551.0,6664.0
3,train,0,kick,0.7001294493675232,0.8255797028541565,0.7576970458030701,0.5249999761581421,22715.0,9729.0,4799.0,68408.0,27514.0
3,train,1,xstick,0.47713497281074524,0.3446766138076782,0.4002310633659363,0.6499999761581421,1732.0,1898.0,3293.0,98728.0,5025.0
3,train,2,snare,0.6141102313995361,0.7372595071792603,0.6700736284255981,0.3999999761581421,23798.0,14954.0,8481.0,58418.0,32279.0
3,train,3,hihat_pedal,0.2541850507259369,0.620073139667511,0.3605647087097168,0.375,9156.0,26865.0,5610.0,64020.0,14766.0
3,train,4,hihat_closed,0.2749533951282501,0.4635714292526245,0.3451760709285736,0.42499998211860657,3245.0,8557.0,3755.0,90094.0,7000.0
3,train,5,hihat_open,0.3021778464317322,0.44931691884994507,0.36134281754493713,0.47499996423721313,2664.0,6152.0,3265.0,93570.0,5929.0
